Attribute,unique artifact,Specific Location,state,Identifier1,Identifier2,Identifier3,Identifier4,Old Identifier,Influence Locations,Image Link1,Image Link2,,,"{Identifier} famous throughout India, originated in {specific location}",,,,,,,,,,,Attribute,state,
Cultural_Common_Sense,Zaldora,Anantnag district,Jammu_kashmir,"A village in Doru Shahabad tehsil has a population of 1949, with 1088 males and 861 females, and covers an area of 2.15 square kilometers",It is one of 62 villages in Doru Shahabad Block along with villages like Hakura Badasgam and Hardu Dehrana.,,,"A village in Doru Shahabad tehsil has a population of 1949, with 1088 males and 861 females, and covers an area of 2.15 square kilometers",,https://en.m.wikipedia.org/wiki/Zaldora,,,,,,,,,,,,,,,,,
Art,Kashmiri Rug,Srinagar,Jammu_kashmir,A hand-knotted oriental rug from Kashmir valley which is associated with Kashmiri handicrafts. ,"Kashmir rugs or carpets have intricate designs that are primarily oriental, floral style in a range of colors, sizes and quality",,,"A hand-knotted oriental rug from Kashmir valley which is associated with Kashmiri handicrafts. Kashmir rugs or carpets have intricate designs that are primarily oriental, floral style in a range of colors, sizes and quality",,https://en.wikipedia.org/wiki/Kashmiri_rug,,,,,,,,,,,,,,,,,
Festival,Kullu Dussehra,Kullu valley,Himachal_Pradesh,The renowned International Mega Dussehra festival observed in the month of October ,"wherein more than 4-5 lakh(400,000-500,000) people visit the fair from all across the Globe.",It is celebrated in the Dhalpur maidan in the Kullu valley,,"The renowned International Mega Dussehra festival observed in the month of October wherein more than 4-5 lakh(400,000-500,000) people visit the fair from all across the Globe. It is celebrated in the Dhalpur maidan in the Kullu valley",,https://en.m.wikipedia.org/wiki/Kullu_Dussehra,,,,,,,,,,,,,,,,,
Tourism,Hidimba Devi Temple,Manali,Himachal_Pradesh," It is an ancient cave temple dedicated to Hidimbi Devi, wife of Bhima, a figure in the Indian epic MahÄbhÄrata. ",The temple is surrounded by a cedar forest called Dhungiri Van Vihar at the foot of the HimÄlayas,,,"It is an ancient cave temple dedicated to Hidimbi Devi, wife of Bhima, a figure in the Indian epic MahÄbhÄrata. The temple is surrounded by a cedar forest called Dhungiri Van Vihar at the foot of the HimÄlayas",,https://en.m.wikipedia.org/wiki/Hidimba_Devi_Temple,,,,,,,,,,,,,,,,,
Tourism,Kangra fort,Kangra district,Himachal_Pradesh,A historic fort also known as 'Nagarkot' and 'Kot Kangra' stands on a hillock ,"between two rivers (Manjhi and Banganga), among the foothills of the Dhauladhar range",,,"A historic fort also known as 'Nagarkot' and 'Kot Kangra' stands on a hillock between two rivers (Manjhi and Banganga), among the foothills of the Dhauladhar range",,https://en.wikipedia.org/wiki/Kangra_Fort,,,,,,,,,,,,,,,,,
Dance_and_Music,Thoda,Kulu district,Himachal_Pradesh,A form of archery  generally performed during various local festivals alongside other traditional games ,may be a symbolic representation of the war described in the Mahabharata.,The aim of Thoda archery is for two opposing teams to shoot arrows at the legs of the other team,,A form of archery  generally performed during various local festivals alongside other traditional games and may be a symbolic representation of the war described in the Mahabharata. The aim of Thoda archery is for two opposing teams to shoot arrows at the legs of the other team,,https://en.m.wikipedia.org/wiki/Thoda_(archery),,,,,,,,,,,,,,,,,
History,Hidimbi,Manali,Himachal_Pradesh,"A character in the Mahabharata,introduced as a man-eating Rakshasi and the sister of Hidimba, a powerful demon who ruled a forested region",She is introduced as a man-eating Rakshasi (demoness) ,Hidimbi is tasked by her brother to deceive the exiled Pandava brothers,,"A character in the Mahabharata,introduced as a man-eating Rakshasi and the sister of Hidimba, a powerful demon who ruled a forested region",,https://en.wikipedia.org/wiki/Hidimbi,,,,,,,,,,,,,,,,,
Cultural_Common_Sense,Salt trade routes,Karnali and Gandaki rivers,Himachal_Pradesh,An ancient and historical paths used to transport salt to regions lacking ,"also known as a salt route, salt way, saltway, or salt trading route",,,"An ancient and historical paths used to transport salt to regions lacking it also known as a salt route, salt way, saltway, or salt trading route",,https://en.m.wikipedia.org/wiki/Salt_road,,,,,,,,,,,,,,,,,
History,Bushahr kingdom,Kinnaur and Shimla,Himachal_Pradesh,A Rajput princely state during the British Raj located in the hilly western Himalaya promontory bordering Tibet,"was eighty four miles long, sixty two miles wide on eastern side, twelve miles wide on the western with an area of 3,820 square miles including that of Saire",,,A Rajput princely state during the British Raj located in the hilly western Himalaya promontory bordering Tibet,,https://en.m.wikipedia.org/wiki/Bushahr,,,,,,,,,,,,,,,,,
Festival,Minjar Festival,Chamba Valley,Himachal_Pradesh,A popular annual festival typically takes place in the month of July ,celebrated to mark the harvesting of the maize crop and to seek blessings for a bountiful year ahead,,,A popular annual festival typically takes place in the month of July celebrated to mark the harvesting of the maize crop and to seek blessings for a bountiful year ahead,,https://en.m.wikipedia.org/wiki/Minjar_Mela,,,,,,,,,,,,,,,,,
History,Kardang Monastery,"Kardang, Lahul and Spiti",Himachal_Pradesh,"A famous Drukpa Lineage monastery situated on a ridge below the 15,000 foot (4,572 metres) Rangcha peak","at an altitude of 3,500m on the left bank of the Bhaga River",,,"A famous Drukpa Lineage monastery situated on a ridge below the 15,000 foot (4,572 metres) Rangcha peak, at an altitude of 3,500m on the left bank of the Bhaga River",,https://en.m.wikipedia.org/wiki/Kardang_Monastery,,,,,,,,,,,,,,,,,
Festival,Losar,Lahaul Spiti,Himachal_Pradesh,"A festival in Tibetan Buddhism marks the beginning of the new year according to the Tibetan lunisolar calendar, typically falling in February or March",It also commenced the Year of the Female Wood Snake.,The variation of the festival in Nepal is called Sonam Lhosar and is observed about eight weeks earlier than the Tibetan Losar,,"A festival in Tibetan Buddhism marks the beginning of the new year according to the Tibetan lunisolar calendar, typically falling in February or March",,https://en.m.wikipedia.org/wiki/Losar,,,,,,,,,,,,,,,,,
Language,Kullui dialect,Kullu district,Himachal_Pradesh,A Western Pahari language also known as Kulvi or Takri ,"has its own unique phonetic features and vocabulary, differentiating it from other Pahari dialects",,,"A Western Pahari language also known as Kulvi or Takri has its own unique phonetic features and vocabulary, differentiating it from other Pahari dialects",,"https://en.m.wikipedia.org/wiki/Kullui#:~:text=Kullui%20(Kull%C5%AB%2C%20also%20known%20as,Indian%20state%20of%20Himachal%20Pradesh",,,,,,,,,,,,,,,,,
Tourism,Bathu Ki Ladi Temple,Kangra district,Himachal_Pradesh,A cluster of temples and the main temple dedicated to goddess Parvati and Lord Shiva submerged in Maharana Pratap Sagar,a reservoir created by Pong dam in the early 1970s,,,"A cluster of temples and the main temple dedicated to goddess Parvati and Lord Shiva submerged in Maharana Pratap Sagar, a reservoir created by Pong dam in the early 1970s",,https://en.m.wikipedia.org/wiki/Bathu_Temples,,,,,,,,,,,,,,,,,
Cuisine,Siddu,Shimla and Kullu,Himachal_Pradesh,"A Himachali dish made from wheat flour, with yeast playing a key role in its preparation by allowing the dough to rise over several minutes or hours ","stuffed with various fillings such as green peas, walnuts, pudina, and herbs. ",,,"A Himachali dish made from wheat flour, with yeast playing a key role in its preparation by allowing the dough to rise over several minutes or hours stuffed with various fillings such as green peas, walnuts, pudina, and herbs. ",,https://en.m.wikipedia.org/wiki/Siddu_(bread),,,,,,,,,,,,,,,,,
Rituals_and_Ceremonies,Lavi Fair,Rampur Bushahr in Shimla district,Himachal_Pradesh,A trade fair runs throughout November in Part Bungalow  ,is the outcome of signing of the trade treaty between the erstwhile Bushahr state and Tibet in the end of the 17th century (1679-1684),,,A trade fair runs throughout November in Part Bungalow  is the outcome of signing of the trade treaty between the erstwhile Bushahr state and Tibet in the end of the 17th century (1679-1684),,https://en.m.wikipedia.org/wiki/Lavi_Fair,,,,,,,,,,,,,,,,,
Festival,Shivratri of Mandi,Mandi district,Himachal_Pradesh,An annual renowned international fair that is held for 7 days starting with the Hindu festival of Shivaratri,celebrated every year on the Krishna paksha 13th day/13th night (breaking fast/'vrata' on 14th after sunrise) of the waning moon in the month of Phalguna that corresponds to February/March as per Gregorian calendar.,,,An annual renowned international fair that is held for 7 days starting with the Hindu festival of Shivaratri,,"https://en.m.wikipedia.org/wiki/Mandi_Shivaratri_Fair#:~:text=Mandi%20Maha%20Shivaratri%20Fair%20is,Indian%20state%20of%20Himachal%20Pradesh",,,,,,,,,,,,,,,,,
Cultural_Common_Sense,Kuhl irrigation,Kangra district,Himachal_Pradesh,A remarkable example of traditional community-managed gravity flow irrigation ,"plays a crucial role in supporting agriculture in the region, allowing farmers to efficiently utilize water resources in the challenging Himalayan terrain",,,"A remarkable example of traditional community-managed gravity flow irrigation plays a crucial role in supporting agriculture in the region, allowing farmers to efficiently utilize water resources in the challenging Himalayan terrain",,https://en.m.wikipedia.org/wiki/Kuhl_irrigation_(Himachal_Pradesh),,,,,,,,,,,,,,,,,
Art,Chamba Rumal embroidery,Chamba,Himachal_Pradesh,An embroidered handicraft that was once promoted under the patronage of the former rulers of Chamba kingdom,It is a common item of gift during marriages with detailed patterns in bright and pleasing colour schemes.,,,An embroidered handicraft that was once promoted under the patronage of the former rulers of Chamba kingdom,,https://en.wikipedia.org/wiki/Chamba_Rumal,,,,,,,,,,,,,,,,,
Art,Kangra painting,Kangra region,Himachal_Pradesh,The pictorial art became prevalent with the fading of the Basohli school of painting in the mid-18th century,,,,The pictorial art became prevalent with the fading of the Basohli school of painting in the mid-18th century,,https://en.m.wikipedia.org/wiki/Kangra_painting,,,,,,,,,,,,,,,,,
History,Manimahesh Kailash,Chamba district,Himachal_Pradesh,"A mountain in the Himalayas, and one of the Panch Kailash mountains mentioned in SanÄtana Dharma ","at a height of 5,653 metres (18,547 ft) stands high over the Manimahesh Lake",,,"A mountain in the Himalayas, and one of the Panch Kailash mountains mentioned in SanÄtana Dharma at a height of 5,653 metres (18,547 ft) stands high over the Manimahesh Lake",,https://en.m.wikipedia.org/wiki/Manimahesh_Kailash_Peak,,,,,,,,,,,,,,,,,
Cultural_Common_Sense,Tattapani,"Karsog, Mandi district",Himachal_Pradesh,A village located at a distance of 52 km from Shimla and 29 km from Naldehra ,"on the right bank of river Satluj at an altitude of 2,230 ft. above the sea level",,,"A village located at a distance of 52 km from Shimla and 29 km from Naldehra on the right bank of river Satluj at an altitude of 2,230 ft. above the sea level",,https://en.m.wikipedia.org/wiki/Tattapani_(Himachal_Pradesh),,,,,,,,,,,,,,,,,
Tourism,Great Himalayan National Park,Kullu district,Himachal_Pradesh,A national park established in 1984 and is spread over an area of 1171 km2 elevations within the park range between 1500 and 6000 m,They are protected under the strict guidelines of the Wildlife Protection Act of 1972; hence any sort of hunting is not permitted.,,,A national park established in 1984 and is spread over an area of 1171 km2 elevations within the park range between 1500 and 6000 m,,https://en.m.wikipedia.org/wiki/Great_Himalayan_National_Park,,,,,,,,,,,,,,,,,
Costume,Luanchari,Chamba and Kangra,Himachal_Pradesh, a  full-dress ethnic garment made up of two parts stitched together,"the upper part, or choli, is  a  kind of blouse or bodice, and the lower part, or lehanga, is a long skirt ","are typically made from the same fabric, but may vary in colour",,"a  full-dress ethnic garment made up of two parts stitched together: the upper part, or choli, is  a  kind of blouse or bodice, and the lower part, or lehanga, is a long skirt are typically made from the same fabric, but may vary in colour",,https://en.m.wikipedia.org/wiki/Luanchari,,,,,,,,,,,,,,,,,
Cultural_Common_Sense,Summer capital,Shimla,Himachal_Pradesh,A city used as an administrative capital during extended periods of particularly hot summer weather,The term is mostly of relevance in historical contexts of political systems with ruling classes that would migrate ,,,A city used as an administrative capital during extended periods of particularly hot summer weather,,https://en.m.wikipedia.org/wiki/Summer_capital,,,,,,,,,,,,,,,,,
History,1905 Kangra Earthquake,Kangra district,Himachal_Pradesh,"A devastating earthquake that struck the Kangra Valley and the Kangra region of Punjab on April 4, 1905 ","With a magnitude of 7.8, resulted in the deaths of over 20,000 people and caused widespread destruction",,,"A devastating earthquake that struck the Kangra Valley and the Kangra region of Punjab on April 4, 1905 With a magnitude of 7.8, resulted in the deaths of over 20,000 people and caused widespread destruction",,https://en.m.wikipedia.org/wiki/1905_Kangra_earthquake,,,,,,,,,,,,,,,,,
Cuisine,Lugdi,"Kinnaur, Lahaul and spiti",Himachal_Pradesh,"An alcoholic drink traditionally prepared from cooked cereal grains, especially rice or barley ",prepared by boiling barley grains or rice and some local herb known as Phab in water and then fermenting the material,,,"An alcoholic drink traditionally prepared from cooked cereal grains, especially rice or barley prepared by boiling barley grains or rice and some local herb known as Phab in water and then fermenting the material",,https://en.m.wikipedia.org/wiki/Lugdi,,,,,,,,,,,,,,,,,
Art,Gangtok Carpet Weaving,Gangtok district,Sikkim," Hand knotted and woven in fixed vertical looms, which are kept standing with the support of a wall, mainly by women in Sikkim",,,,"Hand knotted and woven in fixed vertical looms, which are kept standing with the support of a wall, mainly by women in Sikkim",,https://sikkimcrafts.gov.in/carpet.html,,,,,,,,,,,,,,,,,
Art,"tooni (toona celiata), rani chaap (macalia exelsa) and okner (walnut) Wood Carving",Gangtok district,Sikkim,"An ancient Buddhist wood-carving art form of Sikkim,","using local tooni, rani chaap, and okner wood for decorative items in typical traditional designs like dragons,birds,phoenix etc",,,"An ancient Buddhist wood-carving art form of Sikkim,using local tooni, rani chaap, and okner wood for decorative items in typical traditional designs like dragons,birds,phoenix etc",,https://sikkimcrafts.gov.in/wood.html,,,,,,,,,,,,,,,,,
Art,Thanka Painting,Gangtok district,Sikkim,A Tibetan Buddhist religious scroll painting found hanging in monasteries and in Sikkimese homes,"on cotton or silk, bordered with brocade and often dyes together with gold dust and gold thread",,,"A Tibetan Buddhist religious scroll painting found hanging in monasteries and in Sikkimese homes, on cotton or silk, bordered with brocade and often dyes together with gold dust and gold thread",,https://sikkimcrafts.gov.in/thanka%20painting.html,,,,,,,,,,,,,,,,,
Art,Cane and Bamboo,Dzongu,Sikkim,A traditional cane & bamboo craft of the Lepcha community in Dzongu,"to make household furniture items like moorahs or small stools, decorative items like flowers, utility items etc",,,"A traditional cane & bamboo craft of the Lepcha community in Dzongu, to make household furniture items like moorahs or small stools, decorative items like flowers, utility items etc",,https://sikkimcrafts.gov.in/cane.html,,,,,,,,,,,,,,,,,
Art,Wooden Masks,Gangtok district,Sikkim,"Mask making is, ancient craft, a religious wood mask carving tradition using â€œZaruâ€ wood,","of different gods, goddesses and animals, are made and worn by people during festivals, religious ceremonies and dances.",,,"Mask making is, ancient craft, a religious wood mask carving tradition using â€œZaruâ€ wood, of different gods, goddesses and animals, are made and worn by people during festivals, religious ceremonies and dances.",,https://sikkimcrafts.gov.in/wooden%20mask.html,,,,,,,,,,,,,,,,,
Art,Mural,Gyalshing district,Sikkim,"A traditional mural painting form showcased in rural galleries (e.g., Mud Palace Art Gallery) depicting Sikkimese cultural & religious scenes","is any piece of graphic artwork that is painted or applied directly to a wall, ceiling or other permanent substrate",,,"A traditional mural painting form showcased in rural galleries (e.g., Mud Palace Art Gallery) depicting Sikkimese cultural & religious scenes",,https://en.wikipedia.org/wiki/Mural,,,,,,,,,,,,,,,,,
History,Preserving India's Rich Heritage,Dzongu district,Sikkim,"A protected Lepcha reserve in Dzongu, legally designed to preserve their cultural heritage",under PRASAD (Pilgrimage Rejuvenation and Spiritual Augmentation Drive) scheme by the Government in its unwavering commitment to safeguarding India's ancient civilizational heritage.,,,"A protected Lepcha reserve in Dzongu, legally designed to preserve their cultural heritage",,https://en.wikipedia.org/wiki/Cultural_heritage,,,,,,,,,,,,,,,,,
Personalities,Author Amrita Pritam,Gujranwala,Punjab,The renowned Punjabiâ€‘Hindi poet and novelist born in Gujranwala on 31 August 1919,she is the recipient of the 1956 Sahitya Akademi Award.,,,The renowned Punjabiâ€‘Hindi poet and novelist born in Gujranwala on 31 August 1919,,https://en.wikipedia.org/wiki/Amrita_Pritam,,,,,,,,,,,,,,,,,
Costume,Parandi,Patiala,Punjab,"A multicolored silk tassel hair accessory worn by Punjabi women, especially from Patiala",is a part of traditional ethnic Punjabi clothing and a folk accessory of Punjabi culture. ,is a women's hair ornament made of multicolored silk threads and decorated with floral (bunches) designs and ornamental tassels.,,"A multicolored silk tassel hair accessory worn by Punjabi women, especially from Patiala",,https://en.wikipedia.org/wiki/Punjabi_paranda,,,,,,,,,,,,,,,,,
Costume,Khes,Malwa region and the Sangrur district,Punjab,i is generally hand-woven with coarse cotton yarns. ,as a garment is a simple clothing item to wear loosely to cover the upper body by men in Pakistan and northwest India.,,,"A traditional handâ€‘woven thick cotton blanket or wrap used as bedding/clothing, woven in Malwa/Sangrur",,https://en.wikipedia.org/wiki/Khes,,,,,,,,,,,,,,,,,
Dance_and_Music,Jhumar dance,Sandal Bar and Chaj doab regions,Punjab,"A slow, rhythmic male folk dance from Punjab, performed in a circle to emotional songs at weddings and melas",It is also known as the circular dance of Jats with hands joined all around and performed at weddings or whenever they happen to collect in large numbers.,,,"A slow, rhythmic male folk dance from Punjab, performed in a circle to emotional songs at weddings and melas",Punjab & Haryana,https://en.wikipedia.org/wiki/Jhumar,https://artandculturalaffairshry.gov.in/dance/,,,,,,,,,,,,,,,,
Dance_and_Music,Algoza wind instrument in punjab,Sangrur district,Punjab,"A paired woodwind traditional musical instrument of Sindhi culture, used in Punjabi folk music, providing melody and drone","It consists of two joined beak flutes, one for melody, the second for drone.",,,"A paired woodwind traditional musical instrument of Sindhi culture, used in Punjabi folk music, providing melody and drone",,https://en.wikipedia.org/wiki/Alghoza,,,,,,,,,,,,,,,,,
History,Jallianwala Bagh massacre,Amritsar,Punjab,"The Amritsar massacre took place on 13 April 1919, ","where Brigadier General Dyer ordered troops to fire on an unarmed crowd, killing at least 379 people and injuring over a thousand",,,"The Amritsar massacre took place on 13 April 1919, where Brigadier General Dyer ordered troops to fire on an unarmed crowd, killing at least 379 people and injuring over a thousand",,https://en.m.wikipedia.org/wiki/Jallianwala_Bagh_massacre,,,,,,,,,,,,,,,,,
History,Green Revolution,Ludhiana district,Punjab,"The agricultural transformation in the 1960s initiated from Punjab Agricultural University, Ludhiana, leading to major increases in crop yields","the Third Agricultural Revolution, was a period during which technology transfer initiatives resulted in a significant increase in crop yields.",,,"The agricultural transformation in the 1960s initiated from Punjab Agricultural University, Ludhiana, leading to major increases in crop yields",,"https://en.m.wikipedia.org/wiki/Green_Revolution_in_India#:~:text=In%20Punjab%2C%20where%20it%20was,were%20increasing%20by%20over%2070%25",,,,,,,,,,,,,,,,,
History,"Qila Mubarak, Bathinda",Bathinda,Punjab,Two distinctive historical sites associated with Sikh and Indo-Islamic architectural heritage,a heritage site dating back to early medieval times and preserved by the Archaeological Survey of India,,,"Two distinctive historical sites associated with Sikh and Indo-Islamic architectural heritage, a heritage site dating back to early medieval times and preserved by the Archaeological Survey of India",,https://en.m.wikipedia.org/wiki/Qila_Mubarak,,,,,,,,,,,,,,,,,
Dance_and_Music,Jhumar folk dance,"Sandal Bar,Chaj Doab",Punjab," A traditional Punjabi folk dance, originating from the Sandal Bar and Chaj Doab regions of Punjab. ","A slow, rhythmic male dance, performed in a circle to emotional songs at weddings and fairs",,,"A traditional Punjabi folk dance, originating from the Sandal Bar and Chaj Doab regions of Punjab. A slow, rhythmic male dance, performed in a circle to emotional songs at weddings and fairs",,https://en.wikipedia.org/wiki/Jhumar,,,,,,,,,,,,,,,,,
History,Partition Museum,Amritsar,Punjab,"The public museum located in Amritsarâ€™s Town Hall, opened on 25 Aug 2017","is dedicated to preserving stories, artefacts, and exhibits from the 1947 Partition",,,"The public museum located in Amritsarâ€™s Town Hall, opened on 25 Aug 2017, is dedicated to preserving stories, artefacts, and exhibits from the 1947 Partition",,https://en.wikipedia.org/wiki/Partition_Museum,,,,,,,,,,,,,,,,,
Tourism,Mahendra Chaudhary Zoological Park,Zirakpur,Chandigarh,"A zoological park, situated close to Zirakpur, established in 1977, Punjabâ€™s","largest zoo, featuring a lion safari and diverse fauna",,,"A zoological park, situated close to Zirakpur, established in 1977, Punjabâ€™s largest zoo, featuring a lion safari and diverse fauna",,https://en.wikipedia.org/wiki/Mahendra_Chaudhary_Zoological_Park,,,,,,,,,,,,,,,,,
History,Manimajra Fort,Mani Majra,Chandigarh,"A 360â€‘yearâ€‘old Nanak Shahi brick fort built by Gharib Dass Dhillon,",now deteriorating and under Meharwal Khewaji Trustâ€™s oversight,,,"A 360â€‘yearâ€‘old Nanak Shahi brick fort built by Gharib Dass Dhillon, now deteriorating and under Meharwal Khewaji Trustâ€™s oversight",,https://en.wikipedia.org/wiki/Manimajra_Fort,,,,,,,,,,,,,,,,,
Festival,Kang festival,Imphal district,Manipur,A traditional Meitei lunar ritual festival held in Imphal celebrating agricultural and cultural traditions,"also known as the Ratha Yatra of Manipur, is a prominent religious festival celebrated by the Meitei community of Manipur.",This festival showcases the rich cultural heritage of Manipur and reflects the community’s devotion to Lord Jagannath.,,A traditional Meitei lunar ritual festival held in Imphal celebrating agricultural and cultural traditions,,https://blog.mygov.in/festivals-of-manipur-kang/,,,,,,,,,,,,,,,,,
Rituals_and_Ceremonies,Heikru Hidongba,Imphal West district,Manipur,A royal boat-race ceremony on the Imphal River performed annually by Meitei royalty,"performed every year at the moat of the Sagolband Bijoy Govinda Leikai, Imphal on the 11th day of the Meitei calendar month Langban",,,A royal boat-race ceremony on the Imphal River performed annually by Meitei royalty,,https://en.wikipedia.org/wiki/Heikru_Hidongba,,,,,,,,,,,,,,,,,
Art,Textile weaving,BIshnupur district,Manipur,A centuries-old Meitei handloom tradition from Bishnupur producing fine phanek and other textiles,is a method of textile production [a] in which two distinct sets of yarns or threads are interlaced at right angles to form a fabric or cloth,,,A centuries-old Meitei handloom tradition from Bishnupur producing fine phanek and other textiles,,https://ignca.gov.in/divisionss/janapada-sampada/northeastern-regional-centre/textiles-of-manipur/,,,,,,,,,,,,,,,,,
Tourism,Loktak Lake,Bishnupur district,Manipur,"The worldâ€™s only floating lake (phumdis), a Ramsar wetland and eco-tourism hub","is a freshwater lake in Northeast India. It is a pulsating lake, with a surface area varying from 250 km2 to 500 km2 during the rainy season with a typical area of 287 km2.",,,"The worldâ€™s only floating lake (phumdis), a Ramsar wetland and eco-tourism hub",,https://en.wikipedia.org/wiki/Loktak_Lake,,,,,,,,,,,,,,,,,
Cultural_Common_Sense,Ima Market,Imphal,Manipur,The worldâ€™s largest all-women market run entirely by Meitei women since the 16th century,"also known as the Nupi Keithel (English: Women's Market) or the Khwairamband Keithel (English: Khwairamband Market), ",,,The worldâ€™s largest all-women market run entirely by Meitei women since the 16th century,,https://en.m.wikipedia.org/wiki/Ima_Market,,,,,,,,,,,,,,,,,
Tourism,Khogampatt Gardens,Imphal west district,Manipur,A historical royal garden in Imphal West established by Manipur royalty,"is a botanical garden in Imphal, Manipur, India. It is dedicated to the collection, cultivation, preservation and display of a wide range of 500 varieties of orchids ",,,A historical royal garden in Imphal West established by Manipur royalty,,https://en.m.wikipedia.org/wiki/Khonghampat_Orchidarium,,,,,,,,,,,,,,,,,
Religion,Shri Shri Govindajee Temple,Imphal,Manipur,A 19th century Vaishnavite temple in Imphal housing the divine idol of Lord Govindaji,dedicated to Hindu deities Radha Krishna (Govindaji). It is the largest Vaishnava temple in Imphal district ,,,A 19th century Vaishnavite temple in Imphal housing the divine idol of Lord Govindaji,,https://artsandculture.google.com/entity/shri-shri-govindaji-temple/m0kg13ps?hl=en,,,,,,,,,,,,,,,,,
Tourism,Keibul Lamjao National Gardens,Bishnupur district,Manipur,The worldâ€™s only floating national park established in 1977 for the endangered Sangai deer on Loktak Lake,is characterized by floating decomposed plant material locally called phumdi.,,,The worldâ€™s only floating national park established in 1977 for the endangered Sangai deer on Loktak Lake,,https://en.m.wikipedia.org/wiki/Keibul_Lamjao_National_Park,,,,,,,,,,,,,,,,,
Dance_and_Music,Manipuri Raas Leela,Imphal,Manipur,A devotional Manipuri dance-drama of Radhaâ€‘Krishna performed at the Govindaji Temple,is considered to be the highest spiritual expression of the worship of Hindu deity Krishna.,,,A devotional Manipuri dance-drama of Radhaâ€‘Krishna performed at the Govindaji Temple,,https://en.m.wikipedia.org/wiki/Manipuri_dance,,,,,,,,,,,,,,,,,
Cultural_Common_Sense,Meitei Commmunity,Imphal Valley,Manipur,"The predominant ethnic group of Manipur with distinct language, script (Meitei Mayek), and traditions",They form the largest and dominant ethnic group of Manipur in Northeast India.,,,"The predominant ethnic group of Manipur with distinct language, script (Meitei Mayek), and traditions",,https://en.m.wikipedia.org/wiki/Meitei_people,,,,,,,,,,,,,,,,,
Language,Puyas,Imphal,Manipur,"Ancient Meitei scripture manuscripts written in the Meitei Mayek script, central to Sanamahism and Meitei identity","They encompass a wide spectrum of themes including genealogy, literature, history, royalties, administration, creation and cosmology, philosophy, poetry, religious beliefs",,,"Ancient Meitei scripture manuscripts written in the Meitei Mayek script, central to Sanamahism and Meitei identity",,https://en.m.wikipedia.org/wiki/Puya_(Meitei_texts),,,,,,,,,,,,,,,,,
Art,Thang-Ta,mphal West and Bishnupur,Manipur,"A traditional Manipuri martial art combining armed and unarmed combat forms, integral to cultural heritage","It is practised using weaponry. It is considered as the sibling of Sarit Sarak, which uses no weapons. ",,,"A traditional Manipuri martial art combining armed and unarmed combat forms, integral to cultural heritage",,https://en.m.wikipedia.org/wiki/Thang_Ta,,,,,,,,,,,,,,,,,
Dance_and_Music,Pena,Birbhum district,Manipur,"A traditional Manipuri string instrument used in folk music and rituals, known for its haunting melody","It is the traditional musical instrument of Manipur, used mainly in the Lai Haraoba festival of Sanamahism.",,,"A traditional Manipuri string instrument used in folk music and rituals, known for its haunting melody",,https://en.m.wikipedia.org/wiki/Pena_(musical_instrument),,,,,,,,,,,,,,,,,
Language,Meitei language,"Thoubal , Imphal East , Imphal West",Manipur,The Sino-Tibetan language spoken by the Meitei people,"written in Meitei Mayek script, and official in Manipur",,,"The Sino-Tibetan language spoken by the Meitei people, written in Meitei Mayek script, and official in Manipur",,https://en.m.wikipedia.org/wiki/Meitei_language,,,,,,,,,,,,,,,,,
Festival,Cheiraoba,Imphal district,Manipur,"The Manipuri New Year festival celebrated with offerings, feasting, and traditional rituals in April","also called Meitei Cheiraoba (Meitei for 'Meitei New Year') or Sajibu Cheiraoba (Meitei for 'Sajibu New Year'), is the lunar new year festival of the Meitei people who follow Sanamahism ",,,"The Manipuri New Year festival celebrated with offerings, feasting, and traditional rituals in April",,https://blog.mygov.in/festivals-of-manipur-cheiraoba/,,,,,,,,,,,,,,,,,
Tourism,Keibul Lamjao National Park,Bishnupur district,Manipur,"The worldâ€™s only floating national park, habitat of the endangered Sangai deer on Loktak Lake",The national park is characterized by floating decomposed plant material locally called phumdi,,,"The worldâ€™s only floating national park, habitat of the endangered Sangai deer on Loktak Lake",,https://en.m.wikipedia.org/wiki/Keibul_Lamjao_National_Park,,,,,,,,,,,,,,,,,
Festival,Yaosang,Imphal Valley,Manipur,"The Manipuri version of Holi festival, celebrated with colors, traditional sports, and cultural events","begins just after sunset in every village with the Yaosang Mei thaba, or Burning of the Straw Hut on the night of the fullmoon of Manipuri month of Lamta",,,"The Manipuri version of Holi festival, celebrated with colors, traditional sports, and cultural events",,https://en.m.wikipedia.org/wiki/Yaosang,,,,,,,,,,,,,,,,,
Personalities,Mary Kom,Churachandpur district,Manipur,"An acclaimed Indian boxer and six-time world champion, known as â€œMagnificent Mary,â€ from Manipur.","is an Indian Olympic boxer, politician, and former Member of Rajya Sabha",,,"An acclaimed Indian boxer and six-time world champion, known as â€œMagnificent Mary,â€ from Manipur.",,https://en.wikipedia.org/wiki/Mary_Kom,,,,,,,,,,,,,,,,,
Personalities,Irom Sharmila Chanu,Imphal,Manipur,"A prominent civil rights activist and poet, known for her prolonged hunger strike against AFSPA.","""Iron Lady of Manipur"" or ""Mengoubi"" (""the fair one"") is an Indian civil rights activist, political activist, and poet from the Indian state of Manipur",,,"A prominent civil rights activist and poet, known for her prolonged hunger strike against AFSPA.",,https://en.wikipedia.org/wiki/Irom_Sharmila_Chanu,,,,,,,,,,,,,,,,,
