question,answer,supporting_facts,graph_path,type,source,prob_yes,Corrected Question,Comments
"Which historic site, famous for manuscripts made out of dried palm leaves, is associated with the same state where the festival Chithirai Festival (known for annual celebration during the month of april) is celebrated?",Tamil palm-leaf manuscripts,"An annual celebration during the month of April. The festival, celebrated during the month of Chithirai, is associated with the Meenakshi Temple, dedicated to the goddess Meenakshi, a form of Parvati and her consort Sundareshwar, a form of Shiva.It lasts for one month.|Manuscripts made out of dried palm leaves,used as writing materials in the Indian subcontinent and in Southeast Asia dating back to the 5th century BCE.Their use began in South Asia and spread to other regions, as texts on dried and smoke-treated palm leaves of the Palmyra or talipot palm.Their use continued until the 19th century when printing presses replaced hand-written manuscripts.One of the oldest surviving palm leaf manuscripts of a complete treatise is a Sanskrit Shaivism text from the 9th century.",festival:chithirai_festival|state:tamil_nadu|history:tamil_palm_leaf_manuscripts,A,bank,0.9996198415756226,"Which historic site, famous for manuscripts made out of dried palm leaves, is associated with the same state where the Chithirai Festival  is celebrated?"," Removed ""(known for annual celebration during the month of april)"""
"Which dish, famous for syrupy dessert popular in the eastern part of south asia, originated in the same state where the historic site Terracotta figurines (known for clay-based non-vitreous ceramic fired at relatively low temperatures) is associated?",Rasgulla,"A clay-based non-vitreous ceramic fired at relatively low temperatures. It is therefore a term used for earthenware objects of certain types,a medium for art since the Harappan civilization, although techniques used differed in each time period.|A syrupy dessert popular in the eastern part of South Asia. It is made from ball-shaped dumplings of chhena dough, cooked in light sugar syrup. This is done until the syrup permeates the dumplings.",history:terracotta_figurines|state:west_bengal|cuisine:rasgulla,A,bank,0.9931136965751648,"Which dish, famous for a syrupy dessert popular in the eastern part of South Asia, originated in the same state where the historic site of Terracotta figurines is associated?","Made some grammatical corrections and removed ""(known for clay-based non-vitreous ceramic fired at relatively low temperatures)"""
"Which temple, famous for it is an ancient cave temple dedicated to hidimbi devi, is associated with the same state where the dish Lugdi (known for alcoholic drink traditionally prepared from cooked cereal grains) originated?",Hidimba Devi Temple,"An alcoholic drink traditionally prepared from cooked cereal grains, especially rice or barley prepared by boiling barley grains or rice and some local herb known as Phab in water and then fermenting the material|It is an ancient cave temple dedicated to Hidimbi Devi, wife of Bhima, a figure in the Indian epic Mah bh rata. The temple is surrounded by a cedar forest called Dhungiri Van Vihar at the foot of the Him layas",cuisine:lugdi|state:himachal_pradesh|tourism:hidimba_devi_temple,A,bank,0.9978286623954773,"Which temple, famous for it is ancient cave temple dedicated to Hidimbi Devi, is associated with the same state where the dish Lugdi originated?"," Corrected the question grammatically and removed""(known for alcoholic drink traditionally prepared from cooked cereal grains)"""
"Which art piece, famous for craft traditions of the tai khamti people, was crafted in the same state where the festival Pangsau Pass Winter Festival originated?",Khamti Pottery,"Three day annual global village event organized during the third week of January showcases Northeast Indian and Myanmar tribal cultures through folk performance, crafts, cuisine, and cross-border interaction|The craft traditions of the Tai Khamti people, known for their skilled craftsmanship, particularly in bamboo, wood, bone, and ivory renowned for producing traditional weapons and religious statues, showcasing their mastery",festival:pangsau_pass_winter_festival|state:arunachal_pradesh|art:khamti_pottery,A,gold,NA,"Which art piece, famous for craft traditions of the Tai Khamti people, was crafted in the same state where the Pangsau Pass Winter Festival originated?",Corrected question grammatically
"Which dish, famous for made with roasted khoya and coated with white balls made of sugar, originated from the same state where the festival Uttarayani festival (known for annual fair that marks the occasion of makar sankranti) is celebrated?",Bal Mithai,"An annual fair that marks the occasion of Makar Sankranti, typically taking place in the second week of January|A brown chocolate-like fudge, made with roasted khoya and coated with white balls made of sugar coated roasted poppy seeds",festival:uttarayani_festival|state:uttarakhand|cuisine:bal_mithai,A,bank,0.992262601852417,"Which dish, famous for being made with roasted khoya and coated with white balls made of sugar, originated from the same state where the Uttarayani festival is celebrated?","Removed ""(known for annual fair that marks the occasion of makar sankranti)"" and done some grammatical corrections"
"Which wildlife sanctuary, famous for protected area in 1980 and the park is named after the 2, is associated with the same state where the historic site Kohima War Cemetery (known for dedicated to soldiers of the 2nd british division of the allied forces) happened?",Pulie Badze Wildlife Sanctuary,"A memorial dedicated to soldiers of the 2nd British Division of the Allied Forces who died in the Second World War|A protected area in 1980 and the park is named after the 2,296-metre (7,533 ft) mountain Pulie Badze, which means ""Pulie's Seat"", named after the legendary folktale character ""Pulie""",history:kohima_war_cemetery|state:nagaland|tourism:pulie_badze_wildlife_sanctuary,A,bank,0.9983214735984802,"Which wildlife sanctuary, famous for being declared a protected area in 1980 and named after two rivers, is located in the same state where the historic site Kohima War Cemetery is situated?","Added ""named after two rivers, is located in the same state where the historic site Kohima War Cemetery is situated"" and removed brackets ""(known for dedicated to soldiers of the 2nd british division of the allied forces)"""
"Which tourist attraction, located on the Cheekupally stream, is associated with the same state where the historic site 'Moula Ali Hill' approximately 614 metres high is situated?",Bogatha Waterfall,"The hill is approximately 614 metres (2,014 ft) tall. it has 484 steps from dargah to bottom of the hill and has about 600 tombs around it.|A waterfall located on the Cheekupally stream,Wazeedu Mandal.It is located 120 kilometers (75 mi) from Bhadrachalam, 90 kilometers (56 mi) from Mulugu.",history:moula_ali_hill|state:telangana|tourism:bogatha_waterfall,A,gold,NA,,
"Which festival, famous for significant agricultural festival celebrated, is celebrated in the same state where the art piece Monpa paper scrolls (known for integral to the region's culture and has been used for writing buddhist) was crafted?",Dree Festival,"A traditional paper crafted by the Monpa people made from the bark of the ""Shugu Sheng"" tree, is integral to the region's culture and has been used for writing Buddhist scriptures, hymns, and other important documents|A significant agricultural festival celebrated by the Apatani tribe held in Ziro Valley and is celebrated to ensure a bountiful harvest and the well-being of the people",art:monpa_paper_scrolls|state:arunachal_pradesh|festival:dree_festival,A,bank,0.9996315240859985,"Which festival, famous for significant agricultural festival celebrated, is celebrated in the same state where the art piece, Monpa paper scrolls, was crafted?"," Removed the brackets""(known for integral to the region's culture and has been used for writing buddhist)"""
"Which tourist attraction, famous for its historical royal garden in Imphal West established, is located in the capital city of the state where the festival Akshaya Tritiya is associated?",Khogampatt Gardens,"An annual Jain and Hindu spring festival,falls on the third tithi (lunar day) of the bright half (Shukla Paksha) of the Hindu month of Vaisakha.A vintage religious token depicting Lord Rishabhanatha, accepting sugarcane juice from King Shreyans.This day is auspicious for those who buy rice, deposit money in a bank account, buy any kind of new things or vessels visiting temples, donating foods or special offers for poor people, or helping poor children for their education fees.|A historical royal garden in Imphal West established by Manipur royalty",festival:akshaya_tritiya|state:manipur|city:imphal,C,gold,NA,"Which tourist attraction, famous for its historical royal garden in Imphal West, is located in the capital city of the state where the festival Akshaya Tritiya is associated?","Removed ""established"""
"Which festival, famous for annual jain and hindu spring festival, originated from the same state where the national park Keibul Lamjao National Park (known for world's only floating national park) is located?",Akshaya Tritiya,"The world's only floating national park, habitat of the endangered Sangai deer on Loktak Lake|An annual Jain and Hindu spring festival,falls on the third tithi (lunar day) of the bright half (Shukla Paksha) of the Hindu month of Vaisakha.A vintage religious token depicting Lord Rishabhanatha, accepting sugarcane juice from King Shreyans.This day is auspicious for those who buy rice, deposit money in a bank account, buy any kind of new things or vessels visiting temples, donating foods or special offers for poor people, or helping poor children for their education fees.",tourism:keibul_lamjao_national_park|state:manipur|festival:akshaya_tritiya,A,bank,0.9983646273612976,"Which festival, famous for an annual Jain and Hindu spring festival, originated from the same state where the national park Keibul Lamjao National Park is located?","Grammatically corrected the question and removed""(known for world's only floating national park)"""
"Which historic site, famous for group name referring to the five legendary brothers, is associated with the same state where the temple Lotus Temple (known for notable for its lotus-like shape) is associated?",Pandavas,"Temple notable for its lotus-like shape|A group name referring to the five legendary brothers,Yudhishtira,Bhima,Arjuna,Nakula,and Sahadeva,central figures of the Hindu epic Mahabharata",tourism:lotus_temple|state:delhi|history:pandavas,C,bank,0.9993233680725098,"Which historic site, famous for a group name referring to the five legendary brothers, is associated with the same state where the Lotus Temple is associated?",Corrected the question grammatically and removed the brackets(known for notable for its lotus-like shape)
"Which historic site, famous for magnificent stone structure in the sea, was built in the same state where the church St. Paul's Church (known for college of the holy spirit and church of our lady of the) is associated?",Fortress of Panikotha,"College of the Holy Spirit and Church of Our Lady of the Conception or Saint Paul is situated on the west coast of India, a Union Territory of India|A magnificent stone structure in the sea, built right at the mouth of the creek, built during the Muslim domain by Malik Aiyaz, served as an entry post to control the movement of the Merchant Ships entering for trading the rich Asian merchandise",tourism:st_paul_s_church|state:dadra_nagar_haveli_daman_diu|history:fortress_panikotha,C,bank,0.9970859885215759,"Which historic site, famous for its magnificent stone structure in the sea, was built in the same state where the church St. Paul's Church is associated?","Removed ""(known for college of the holy spirit and church of our lady of the)"""
"Which costume, famous for woven from cotton threads and distinguished, was woven in the same state where the festival Kali Puja (known for dedicated to the hindu goddess kali celebrated on the new moon day) is celebrated?",Tant sarees,"A festival dedicated to the Hindu goddess Kali celebrated on the new moon day of the Hindu calendar month of Ashwayuja or Kartika|A traditional Bengali sari,woven from cotton threads and distinguished by its lightness and transparency considered to be the most comfortable sari for the hot and humid climate in the Indian subcontinen",festival:kali_puja|state:west_bengal|costume:tant_sarees,A,bank,0.9963057041168213,"Which costume, famous for being woven from cotton threads and distinguished, was woven in the same state where the festival Kali Puja  is celebrated?","Made some grammatical corrections and removed ""(known for dedicated to the hindu goddess kali celebrated on the new moon day)"""
"Which personality, famous for indian actor and director who works in telugu cinema, worked in the same state where the tourist attraction Lumbini Park (known for urban park of 3 hectares (7) is associated?",Vennela Kishore,"A small public, urban park of 3 hectares (7.5 acres) located in the centre of the city and is in close proximity to other tourist attractions, such as Birla Mandir and Necklace Road, it attracts many visitors throughout the year. Boating is one of the best attractions and people go to the Buddha idol placed in the middle of the Tank Band in the boats.|An Indian actor and director who works in Telugu cinema.Known for his comedic roles, he earned the moniker ""Vennela"" after his first feature film Vennela (2005) and he is a recipient of two Nandi Awards.",tourism:lumbini_park|state:telangana|personalities:vennela_kishore,A,bank,0.9943444728851318,"Which personality, famous for an indian actor and director who works in Telugu cinema, worked in the same state where the tourist attraction Lumbini Park  is associated?","Made some grammatical corrections and removed the bracket""(known for urban park of 3 hectares (7)"""
"Which art piece, famous for popular form of paintings, is associated with the same state where the personality K Chandrasekhar Rao (known for indian politician currently representing the gajwel assembly constituency and serving as the) worked?",Nirmal paintings,"An Indian politician currently representing the Gajwel Assembly constituency and serving as the leader of the opposition in the Telangana Legislative Assembly.He is the founder and leader of the Bharat Rashtra Samithi|A popular form of paintings ,the paintings have golden hues.This art was practiced in the 14th century by a group of artisans who are known as Naqash.",personalities:k_chandrasekhar_rao|state:telangana|art:nirmal_paintings,A,bank,0.9947929978370667,"Which art piece, famous for its popular form of paintings, is associated with the same state where the personality K Chandrasekhar Rao worked?","Done some grammatical changes and removed ""(known for indian politician currently representing the gajwel assembly constituency and serving as the)"""
"Which historic site, famous for historical sarai as part of ibrahim bagh, was built in the same state where the personality Gajam Anjaiah (known for indian master handloom designer) is associated?",Taramati Baradari,"An Indian master handloom designer, who is widely recognised in the handloom industry for his innovations and developments of Tie and Dye handloom products along with Telia Rumal technique of weaving based on Ikat tie-dye process. He received Padma Shri from Government of India under Art category in 2013.|A historical sarai as part of Ibrahim Bagh,constructed on the banks of the Musi river.",personalities:gajam_anjaiah|state:telangana|history:taramati_baradari,A,bank,0.9968522191047668,"Which historic site, famous for its historical sarai as part of Ibrahim Bagh, was built in the same state where the personality Gajam Anjaiah is associated?","Removed the bracket""(known for indian master handloom designer)"" and correct it grammatically"
"Which religious tradition, famous for major hindu festival in tripura worshipping the 14 deities, is associated with the same state where the historic site Pilak, Tripura (known for archaeological site with buddhist and hindu sculptures dating back to 8th-12th century) is associated?",Kharchi Puja,"An archaeological site with Buddhist and Hindu sculptures dating back to 8th-12th century.|A major Hindu festival in Tripura worshipping the 14 deities, marked by rituals and fairs.",history:pilak_tripura|state:tripura|religion:kharchi_puja,A,bank,0.9935105443000793,"Which religious tradition, famous for major Hindu festivals in Tripura worshipping the 14 deities, is associated with the same state where the historic site Pilak, Tripura is associated?","Removed the brackets""(known for archaeological site with buddhist and hindu sculptures dating back to 8th-12th century)"" and correct it grammatically"
"Which historic site, famous for process in which the republic of india annexed the portuguese state of, is associated with the same state where the festival Bonderam Festival (known for centuries old festival evolved from our ancestors) originated?",Annexation of Goa,"A centuries old festival evolved from our ancestors, the Kadamba dynasty to the Portuguese.|A process in which the Republic of India annexed the Portuguese State of India,",festival:bonderam_festival|state:goa|history:annexation_goa,C,bank,0.9974195957183838,"Which historic site, famous for the process in which the Republic of India annexed the Portuguese state, is associated with the same state where the Bonderam Festival, a centuries-old celebration that evolved from ancestral traditions originated?",Corrected the question grammatically and removed the brackets(known for notable for its lotus-like shape)
"Which art piece, famous for keyboard instrument that is a lot like an organ, is associated with the same state where the festival Charak Puja (known for part of the hindu folk festival of gajan) originated?",Harmonium,"A part of the Hindu folk festival of Gajan, held in honor of the deity Shiva or Dharmathakur the Gajan festival includes numerous forms of austerities like walking on hot coals or piercing the body with metal rods Charak refers to the practice of hook-swinging which generally is the last penance performed during the festival|A keyboard instrument that is a lot like an organ. It makes sound by blowing air through reeds, which are tuned to different pitches to make musical notes.This instrument allows the strings to be played by the hand on the bellows, and keys by the other hand.",festival:charak_puja|state:west_bengal|art:harmonium,A,gold,NA,"Which art piece, famous for a keyboard instrument that is a lot like an organ, is associated with the same state where the festival Charak Puja originated?"," Removed the bracket""(known for part of the hindu folk festival of gajan)"""
"Which historic site, famous for 569 mi) trans-boundary river also, is associated with the same state where the festival Ramman festival (known for religious festival and ritual theatre celebrated annually in the twin villages of) is celebrated?",Ganges,"A religious festival and ritual theatre celebrated annually in the twin villages of Saloor-Dungra honors the local deity Bhumiyal Devta and involves theatrical performances, music, and traditional oral and written tales|A 2,525-kilometre-long (1,569 mi) trans-boundary river also considered as one of the holiest flowing through the Himalayas",festival:ramman_festival|state:uttarakhand|history:ganges,A,bank,0.9996034502983093,"Which historic site, famous for its association with a 569-mile trans-boundary river, is located in the same state where the Ramman Festival, a religious festival and ritual theatre celebrated annually in the twin villages, is held?",Correct some words grammatically
"Which historic site, famous for incorporated under the dentist act, was established in the same state where the art piece Textile embroidery (known for dozens of embroidery styles that vary) was crafted?",Dental Council of India,"Dozens of embroidery styles that vary by region and clothing styles, Designs in Indian embroidery are formed on the basis of the texture and the design of the fabric and the stitch. The dot and the alternate dot, the circle, the square, the triangle, and permutations and combinations of these constitute the design.|Incorporated under The Dentist Act,1948 to regulate dental education and the profession,financed by the Ministry of Health and Family Welfare and through the local state dental councils",art:textile_embroidery|state:delhi|history:dental_council_india,A,bank,0.997222900390625,"Which historic site, famous for being incorporated under the Dentists Act, was established in the same state where the art piece Textile Embroidery, known for its dozens of varying embroidery styles, was crafted?",Removed unwanted brackets
"Which palace, famous for royal residence of the manikya dynasty, was ruled in the same state where the wildlife sanctuary Sepahijala Wildlife Sanctuary (known for 5 km protected zone established in 1987 featuring botanical and zoological gardens) is associated?",Pushbanta Palace,"An 18.5 km protected zone established in 1987 featuring botanical and zoological gardens, lakes, and over 150 bird and primate species .|A royal residence of the Manikya dynasty, now part of the proposed Maharaja Bir Bikram University.",tourism:sepahijala_wildlife_sanctuary|state:tripura|history:pushbanta_palace,A,bank,0.9983654618263245,"Which palace, famous for the royal residence of the Manikya dynasty, was ruled in the same state where the wildlife sanctuary Sepahijala Wildlife Sanctuary is associated?","Corrected question grammatically and removed the bracket""(known for 5 km protected zone established in 1987 featuring botanical and zoological gardens)"""
"Which art piece, famous for manufactured bell metal product was crafted in the same state where the historic polity Ahom dynasty (known for shan prince of mong mao who came after crossing the patkai mountains) was ruled?",Xorai,"The dynasty was established by Sukaphaa, a Shan prince of Mong Mao who came after crossing the Patkai mountains. The rule of this dynasty ended with the Burmese invasion and the subsequent annexation by the British East India Company following the Treaty of Yandabo in 1826|A manufactured bell metal product is one of the traditional symbols of Assam, which is considered as an article of great respect by the people.It is an offering tray with a stand at the bottom which is used in felicitations also.There are Xorais with or without a cover on the top. Hajo and Sarthebari are the most important centers of traditional bell-metal and brass crafts",history:ahom_dynasty|state:assam|art:xorai,A,gold,NA,"Which art piece, famous for its manufactured bell metal products, was crafted in the same state where the historic polity Ahom dynasty, known for a Shan prince of Mong Mao who arrived after crossing the Patkai Mountains, once ruled?","Made some grammatical changes and removed ""(known for shan prince of mong mao who came after crossing the patkai mountains) """
"Which temple, famous for significant religious site dedicated to lord shiva, is associated with the same state where the language Kommu Koya (known for sub-group officially recognized as a scheduled tribe retains unique cultural traits but) is spoken?",Sri Mukhalingam Temple,"A sub-group officially recognized as a Scheduled Tribe retains unique cultural traits but is categorized under the broader Koya ST community for government and legal identification|A significant religious site dedicated to Lord Shiva, specifically the form of Lord Srimukha Lingeswara known for its exquisite sculptures and is built in the Kalinga architectural style",language:kommu_koya|state:andhra_pradesh|tourism:sri_mukhalingam_temple,A,bank,0.99898761510849,"Which temple, famous for a significant religious site dedicated to Lord Shiva, is associated with the same state where the language Kommu Koya is spoken?","Corrected the question grammatically and removed""(known for sub-group officially recognized as a scheduled tribe retains unique cultural traits but)"""
"Which tourist attraction, famous for sanctuary occupies 104 km2 in the singalila range, is associated with the same state where the temple Kirateshwar Mahadev Temple (known for identified to be a hindu pilgrimage site along the banks of river) is worshipped?",Varsey Rhododendron Sanctuary,"A Hindu temple,identified to be a Hindu pilgrimage site along the banks of River Rangeet|The Sanctuary occupies 104 km2 in the Singalila Range,the rhododendrons bloom from March till May.",religion:kirateshwar_mahadev_temple|state:sikkim|tourism:varsey_rhododendron_sanctuary,C,bank,0.9968474507331848,"Which tourist attraction, famous for a sanctuary that occupies 104 km2 in the Singalila range, is associated with the same state where the temple Kirateshwar Mahadev Temple is worshipped?","Made some grammtical correction and removed ""(known for identified to be a hindu pilgrimage site along the banks of river)"""
"Which historic polity, famous for viceroy of the deccan (administrator of six mughal governorates) under the mughal emperors, was ruled in the same state where the tourist attraction Edulabad Lake (known for also known as edulabad water reservoir) is located?",Asaf Jahi dynasty,"A lake also known as Edulabad water reservoir. Industrial sewage and waste from Patancheru have polluted this lake, killing fish and causing illness in lakeside communities in 2002.The lake has turned pink in color due to the chemicals in the sewage industries.|A Muslim dynasty founded by Mir Qamar-ud-Din Siddiqi, a Viceroy of the Deccan (administrator of six Mughal governorates) under the Mughal emperors from 1713 to 1721.",tourism:edulabad_lake|state:telangana|history:asaf_jahi_dynasty,A,bank,0.993791401386261,"Which historic polity, famous for the Viceroy of the Deccan under the Mughal emperors, was based in the same state where the tourist attraction Edulabad Lake, also known as the Edulabad Water Reservoir, is located?","Removed the bracket ""(administrator of six Mughal governorates)"""
"Which historic site, famous for archaeological site with buddhist and hindu sculptures dating back to 8th-12th century, is associated with the same state where the tourist attraction Atharamura Hills (known for forested hill range popular for trekking and rich tribal culture) is located?","Pilak, Tripura",A forested hill range popular for trekking and rich tribal culture.|An archaeological site with Buddhist and Hindu sculptures dating back to 8th-12th century.,tourism:atharamura_hills|state:tripura|history:pilak_tripura,A,bank,0.9925064444541931,"Which historic site, famous for an archaeological site with Buddhist and Hindu sculptures dating back to the 8th-12th century, is associated with the same state where the tourist attraction Atharamura Hills is located?",Made some grammatical changes and removed the bracket(known for forested hill range popular for trekking and rich tribal culture)
"Which religious tradition, famous for major hindu festival in tripura worshipping the 14 deities, is associated with the same state where the tourist attraction Venuban Vihar (known for serene buddhist shrine surrounded) is associated?",Kharchi Puja,"A serene Buddhist shrine surrounded by lush greenery and meditation areas.|A major Hindu festival in Tripura worshipping the 14 deities, marked by rituals and fairs.",tourism:venuban_vihar|state:tripura|religion:kharchi_puja,C,bank,0.9994146823883057,"Which religious tradition, famous for a major Hindu festival that involves the worship of 14 deities, is associated with the same state where the tourist attraction Venuban Vihar, known for its serene Buddhist shrine surrounded by greenery, is located?","Removed the state "" Tripura"""
"Which tourist attraction, famous for located on the cheekupally stream, is associated with the same state where the historic site Abids (known for central commercial district named after the british resident albert abid) is associated?",Bogatha Waterfall,"A central commercial district named after the British resident Albert Abid.|A waterfall located on the Cheekupally stream,Wazeedu Mandal.It is located 120 kilometers (75 mi) from Bhadrachalam, 90 kilometers (56 mi) from Mulugu.",history:abids|state:telangana|tourism:bogatha_waterfall,C,bank,0.9979090690612793,"Which tourist attraction, located on the Cheekupally stream, is associated with the same state where the historic site Abids, known as the central commercial district named after the British resident Albert Abid, is located?",Corrected the question grammatically.
"Which wildlife sanctuary, famous for 5 km protected zone established in 1987 featuring botanical and zoological gardens, is associated with the same state where the palace Ujjayanta Palace (known for grand former royal palace built in the early 20th century) was built?",Sepahijala Wildlife Sanctuary,"A grand former royal palace built in the early 20th century, now housing the State Museum.|An 18.5 km protected zone established in 1987 featuring botanical and zoological gardens, lakes, and over 150 bird and primate species .",history:ujjayanta_palace|state:tripura|tourism:sepahijala_wildlife_sanctuary,A,bank,0.998799204826355,"Which grand former royal palace, built in the early 20th century and now housing the State Museum, is located near an 18.5 km² protected zone established in 1987 that features botanical and zoological gardens, lakes, and over 150 bird and primate species?",Reframed the question and made some grammatical changes.
"Which dish, famous for variety of rice grown in india, originated in the same state where the art piece Majuli masks (known for deep and enduring aspect of our intangible cultural heritage) was crafted?",Joha rice,"Deep and enduring aspect of our intangible cultural heritage, for centuries. The intricate artistry and craftsmanship embedded in the creation of masks on this river island have contributed significantly to tradition and heritage. Passed down through generations, this cultural practice represents a dynamic and living connection to the past, embodying the creativity, skills, and cultural expressions of the people serves as evidence of continuity and flexibility for adaption to present contemporary scenario and demands.|A variety of rice grown in India, notable for its aroma, delicate and excellent taste, primarily grown through paddy field farming. In Garo Hills it's widely cultivated",art:majuli_masks|state:assam|cuisine:joha_rice,A,bank,0.9947875738143921,"Which dish, famous for the variety of rice grown in India, originated in the same state where the art piece Majuli masks was crafted?","Removed""(known for deep and enduring aspect of our intangible cultural heritage)"""
"Which historic site, famous for constructed during the qutb shahi period and completed in ah 1082 (1671/1672, was built in the same state where the religious tradition Phanigiri (known for dates to the 1st century bce - 4th century ce period) is associated?",Toli Masjid,"A Buddhist site,dates to the 1st Century BCE - 4th century CE period.This site is a major discovery in the history and is closely related to the stupa complexes at Amaravati and Nagarjunakonda|A mosque was constructed during the Qutb Shahi period and completed in AH 1082 (1671/1672 CE)",religion:phanigiri|state:telangana|history:toli_masjid,A,bank,0.9932698607444763,"Which historic site, famous for construction during the Qutb Shahi period and completed in AH 1082 (1671/1672), was built in the same state where the religious tradition Phanigiri is associated?","Removed the bracket""(known for dates to the 1st century bce - 4th century ce period)"" and correct it grammatically"
"Which historic site, famous for state of the portuguese empire founded seven years after the discovery of, was ruled in the same state where the tourist attraction Zampa Gateway (known for captivating symbol of portuguese heritage) is associated?",Portuguese architectural influence,"A captivating symbol of Portuguese heritage. This imposing structure welcomes visitors with its intricate architecture and serves as a gateway to explore the island's cultural treasures and scenic beauty.It stands as an iconic representation of its heritage with its intricately carved patterns and sculptures|A state of the Portuguese Empire founded seven years after the discovery of the sea route to the Indian subcontinent by Vasco da Gama, a subject of the Kingdom of Portugal. The capital of Portuguese India served as the governing centre of a string of military forts and maritime ports scattered along the coasts of the Indian Ocean.",tourism:zampa_gateway|state:dadra_nagar_haveli_daman_diu|history:portuguese_architectural_influence,C,bank,0.9987291693687439,"Which historic site, famous for the state of the Portuguese Empire founded seven years after the discovery of, was ruled in the same state where the tourist attraction Zampa Gateway is associated?","Removed the brackets""(known for captivating symbol of portuguese heritage)"""
"Which festival, famous for three-week-long pilgrimage and festival celebrated in kurur village of nandanagar, is celebrated in the same state where the tourist attraction Har ki Pauri is associated?",Nanda Devi Raj Jaat,A sacred and most important religious place located on the banks of the Ganges river believed that bathing here leads to salvation|A three-week-long pilgrimage and festival celebrated in Kurur Village Of Nandanagar,tourism:har_ki_pauri|state:uttarakhand|festival:nanda_devi_raj_jaat,A,gold,NA,"Which festival, famous for a three-week-long pilgrimage and festival celebrated in Kurur village of Nandanagar, is celebrated in the same state where the tourist attraction Har ki Pauri is associated?",Made some grammatical corrections
"Which art piece, famous for handicraft and textile signature art tradition of the tribal community practiced normally, was crafted in the same state where the language Vasavi language (known for western indo-aryan language spoken) is spoken?",Kutch embroidery,"A Western Indo-Aryan language spoken by the Bhil people, though not intelligible with Bhili.The language goes by various names Adiwasi Bhil, (Padwi)Bhilori.|A handicraft and textile signature art tradition of the tribal community practiced normally by women is generally done on fabrics of cotton, in the form of a net using cotton or silk threads inn certain patterns, it is also crafted over silk and satin.",language:vasavi_language|state:gujarat|art:kutch_embroidery,A,bank,0.9961085915565491,"Which art piece, famous for handicraft and textile signature art tradition of the tribal community , was crafted in the same state where the Vasavi language is spoken?","Done grammatical changes and removed the brackets ""(known for western indo-aryan language spoken)"""
Sahili,,,,,,,,
"Which wildlife sanctuary, famous for wildlife sanctuary is spread over an area of 635, is located in the same state where the palace Asman Garh Palace (known for declared a heritage structure) was built?",Kinnerasani Wildlife Sanctuary,"The palace was declared a heritage structure by INTACH.The palace hosted a museum displaying archaeological relics. After that converted to an orphanage for a brief period of time. The palace presently is converted into a school (St Joseph's Public School, Asman Garh Palace branch).|The wildlife sanctuary is spread over an area of 635.40 km2 (157,010 acres) with the picturesque Kinnerasani Lake with densely forested islands in the middle of the sanctuary.",history:asman_garh_palace|state:telangana|tourism:kinnerasani_wildlife_sanctuary,A,bank,0.9968844056129456,"Which wildlife sanctuary, famous for being spread over an area of 635.40 km2 (157,010 acres) , is located in the same state where the ""Asman Garh Palace"" was built?","Added details about the area  , removed (known for declared a heritage structure) "
"Which historic site, famous for set of medieval monuments, is associated with the same state where the festival Hornbill Festival (known for annual festival celebrated from 1 to 10 of december) is celebrated?",Ruins of Kachari Rajbari,An annual festival celebrated from 1 to 10 of December|A set of medieval monuments,festival:hornbill_festival|state:nagaland|history:ruins_kachari_rajbari,A,bank,0.999363362789154,"Which historic site, famous for its set of medieval monuments that feature a series of mushroom-domed pillars, is located in the same state where the ""Hornbill Festival"" is held?""",Added details about the artifact (series of mushroom-domed pillars)
"Which temple, famous for significant religious site dedicated to lord Shiva, is associated with the same state where the temple Lepakshi temple frescos (known for paintings created during the 16th century) is associated?",Sri Mukhalingam Temple,"The Paintings created during the 16th century, cover the ceilings and walls of the temple, depicting stories from mythology, religious texts, and courtly life|A significant religious site dedicated to Lord Shiva, specifically the form of Lord Srimukha Lingeswara known for its exquisite sculptures and is built in the Kalinga architectural style",art:lepakshi_temple_frescos|state:andhra_pradesh|tourism:sri_mukhalingam_temple,C,bank,0.9994511008262634,"Which temple, famous as a significant religious site dedicated to Lord Shiva, is associated with the same state where the ""Lepakshi Temple frescoes"" are found?",Removed (known for paintings created during the 16th century)
"Which temple, famous for 19th century Vaishnavite temple in Imphal housing the divine idol of lord, is worshipped in the same state where the language Kuki-Chin languages (known for branch of the sino-tibetan language family) is spoken?",Sree Shree Govindaji Temple,"A branch of the Sino-Tibetan language family , ethnic groups are referred to collectively as the Zo people which includes the Mizo, Kuki, Chin and Zomi people.|A 19th century Vaishnavite temple in Imphal housing the divine idol of Lord Govindaji",language:kuki_chin_languages|state:manipur|religion:sree_shree_govindaji_temple,A,bank,0.9932061433792114,"Which temple, famous for 19th century Vaishnavite temple in Imphal housing the divine idol of Lord Govindaji , is worshipped in the same state where the language ""Kuki-Chin languages""  is spoken?",Added the name of the lord(Govindaji)
"Which festival, famous for celebrated among the tagin tribe in january, is celebrated in the same state where the language Tagin dialect (known for indigenous language within the tani languages group) is spoken?",Si-Donyi Festival,"A Sino-Tibetan language spoken by the Tagin people, It's a stable, indigenous language within the Tani languages group, and while widely used within the community|A festival celebrated among the Tagin tribe in January, marking the end of the agricultural season and is a time for community celebration, gratitude to nature, and cultural display",language:tagin_dialect|state:arunachal_pradesh|festival:si_donyi_festival,A,bank,0.9978082776069641,"Which festival, famous for being celebrated among the Tagin tribe in January, is celebrated in the same state where the  ""Tagin dialect""  is spoken?",Removed (known as an indigenous language within the Tani languages group) 
